,,,,,,,,,,,,,,,,,,,
Category,,Tên Sản phẩm ,Tên tiếng Anh ,Xuất hiện ở Trang chủ ,Flag ,Tag line ,Giá gốc ,Giá khuyến mãi ,% khuyến mãi ,Tiết kiệm ,Dung tích,Quà tặng,Mô tả sản phẩm ,Thành phần ,Giấy kiểm nghiệm ,Hướng dẫn sử dụng ,Chính sách giao hàng ,Review sản phẩm,Link ảnh sản phẩm 
Mỹ phẩm vi sinh Hoa Ngân ,,XỊT DƯỠNG CHUYÊN SÂU,"BIO MIRACLE ESSENCE
",có,,Kiểm nghiệm không kích ứng / Dành cho mọi loại da/ Dùng được cho phụ nữ có thai & trẻ em,499000,,,,50ml,,"
Giải pháp nuôi dưỡng chuyên sâu đa tầng dành cho làn da. Đặc biệt dùng cho da quá mỏng yếu, tổn thương nhiều, lộ mạch máu.

Cung cấp lợi khuẩn sống - Phục hồi hàng rào bảo vệ da 
Lactobacillus spp. và Bacillus spp. được chứng minh là 02 lợi khuẩn quan trọng đối với sức khoẻ làn da nhờ khả năng cân bằng Hệ Vi Sinh da bị rối loạn, tăng cường sức khoẻ của 3 hàng rào bảo vệ da (Vật lý, Hoá học, Sinh học), ngăn ngừa lão hóa, làm sáng da, dưỡng ẩm và hỗ trợ xử lý các vấn đề da.

Công trình 20 năm nghiên cứu của Chúng tôi tập trung phát triển, thuần hoá Hệ Lợi Khuẩn Lactobacillus spp. và Bacillus spp. chuyên biệt với sức đề kháng cao để mang lại hiệu quả tối đa trên da. 

Thảo dược bản địa tự nhiên - Công nghệ vi sinh 
Thảo Dược tự nhiên được trồng và khai thác tại những vùng có thổ nhưỡng tốt nhất tại Việt Nam và đáp ứng các tiêu chuẩn khắt khe: không phân bón hóa học, không thuốc bảo vệ thực vật, không chất kích thích tăng trưởng, không chất bảo quản,…
Bằng Công Nghệ Vi Sinh, Chúng tôi LOẠI BỎ ĐỘC TỐ tự nhiên đồng thời GIỮ LẠI TRỌN VẸN DƯỢC TÍNH của Thảo Dược hướng hữu cơ, giúp tối ưu hóa hiệu quả và mang đến dòng sản phẩm an toàn, chứa đựng sức mạnh thuần khiết từ thiên nhiên. 

Công Dụng
Cấp ẩm chuyên sâu, cân bằng và duy trì độ ẩm cho da
Cải thiện dấu hiệu lão hoá
Cải thiện độ đàn hồi 
Mang lại vẻ ngoài căng bóng, rạng rỡ 
Sạch nhờn & se chân lông
Làm mát da
Hỗ trợ chăm sóc làn da tiếp xúc thường xuyên với nắng, môi trường ô nhiễm và khói bụi","Water (Nước)
Aloe Barbadensis Extract (Chiết xuất Lô Hội)
Hydrolyzed Swiftlet Nest Extract (Chiết xuất Tổ Yến)
Lactobacillus
Bacillus
Saccharomyces","Độ An Toàn Của Sản Phẩm Đáp Ứng Các Tiêu Chí KHÔNG:
Đã được kiểm nghiệm Chỉ tiêu kích ứng da
Không chứa chất hóa học Corticoid
Không chứa hương liệu và màu nhân tạo
Không chứa chất bảo quản gây hại
Không chứa cồn xấu
Không chứa Paraben và dầu khoáng","Sản phẩm được sử dụng theo 2 cách:
Cách 1: Xịt trực tiếp lên mặt (giống xịt khoáng). Xịt khi da mặt không bôi thoa mỹ phẩm khác. Xịt từ 3-7 lần/ ngày (không giưới hạn lượng xịt trong ngày)

Cách 2: Đắp mặt nạ ủ. Làm ướt bông tẩy trang bằng Xịt dưỡng, Tách lớp bông tẩy trang cho mỏng vừa đủ và đắp lên da. Đắp lớp mặt nạ ủ nilon bên ngoài để ngăn bốc hơi. Đắp từ 40-90 phút. Sau khi đắp xong không cần rửa mặt lại với nước. 

Vui lòng đọc kỹ Hướng Dẫn Sử Dụng trước khi sử dụng tại đây: Cẩm nang hướng dẫn sử dụng 
Khi mua sản phẩm bạn sẽ được đồng hành 1:1 với tư vấn viên, bạn cũng có thể liên hệ tư vấn viên để được giải đáp thắc mắc kịp thời. ",,,https://drive.google.com/drive/folders/1YzVZL7W1VRZmNYfhBXYYGWaAMUFoPjqR?usp=sharing
Mỹ phẩm vi sinh Hoa Ngân ,,TINH CHẤT TÁI SINH VI SINH 2.0,BIO REGENERATING ESSENCE VI SINH 2.0,có,,Kiểm nghiệm không kích ứng / Da nhạy cảm / Dùng được cho phụ nữ có thai & trẻ em,549000,,,,50ml,,"Giải pháp chuẩn Khoa Học Vi Sinh giúp hỗ trợ làm sạch bã nhờn dư thừa và các tạp chất tích tụ trên bề mặt da, hỗ trợ xử lý các vấn đề da, đưa làn da trở về trạng thái cân bằng và khỏe mạnh tự nhiên.
Dành cho: da nhạy cảm, da mỏng, yếu, nổi mạch máu… với độ thải độc nhẹ.

Công Dụng
Hỗ trợ cải thiện mụn & ngăn ngừa các nguyên nhân gây mụn
Làm đều màu da, bề mặt da sáng khỏe
Cải thiện độ đàn hồi. Mang lại vẻ ngoài căng bóng và rạng rỡ
Sạch dầu nhờn & sợi bã nhờn dư thừa
Cho bề mặt da láng mịn
Se khít lỗ chân lông
Hỗ trợ chăm sóc làn da tiếp xúc thường xuyên với môi trường khói bụi","Water (Nước)
Lonicera Japonica Extract (Chiết xuất Hoa Kim Ngân)
Cynara Scolymus Leaf Extract (Chiết xuất Atiso)
Rosa Centifolia Extract (Chiết xuất Hoa Hồng)
Houttuynia Cordata Extract (Chiết xuất cây Diếp Cá)
Crinum Latifolium Extract (Chiết xuất Trinh Nữ Hoàng Cung)
Lactobacillus spp.
Bacillus spp.","Độ An Toàn Của Sản Phẩm Đáp Ứng Các Tiêu Chí KHÔNG:
Đã được kiểm nghiệm Chỉ tiêu kích ứng da
Không chứa chất hóa học Corticoid
Không chứa hương liệu và màu nhân tạo
Không chứa chất bảo quản gây hại
Không chứa cồn xấu
Không chứa Paraben và dầu khoáng","Sản phẩm được sử dụng theo 2 cách: 
Cách 1: Xịt Vi sinh ra lòng bàn tay, sau đó dùng tay còn lại để thoa lên da. Không thoa lên các vùng da mỏng như mí mắt, bọng mắt. Ngày thoa từ 1-2 lần. Nên thoa trước khi đi ngủ 

Cách 2: Xịt Vi sinh lên tăm bông và thoa đều lên da, những vùng mụn, thâm nám.

Vui lòng đọc kỹ Hướng Dẫn Sử Dụng trước khi sử dụng tại đây: Cẩm nang hướng dẫn sử dụng 
Khi mua sản phẩm bạn sẽ được đồng hành 1:1 với tư vấn viên, bạn cũng có thể liên hệ tư vấn viên để được giải đáp thắc mắc kịp thời. ",,,https://drive.google.com/drive/folders/1184wser2laZ_my8SS6XYU4mDa6VCJ6Q-?usp=sharing
Mỹ phẩm vi sinh Hoa Ngân ,,TINH CHẤT TÁI SINH VI SINH 2.7,BIO REGENERATING ESSENCE VI SINH 2.7,có,,Kiểm nghiệm không kích ứng / Da thường/ Mọi loại da/ Dùng được cho phụ nữ có thai & trẻ em,549000,,,,50ml,,"Giải pháp chuẩn Khoa Học Vi Sinh giúp hỗ trợ làm sạch bã nhờn dư thừa và các tạp chất tích tụ trên bề mặt da, hỗ trợ xử lý các vấn đề da, đưa làn da trở về trạng thái cân bằng và khỏe mạnh tự nhiên.
Dành cho: da dầu, da hỗn hợp, da thường, da khô với độ thải độc mạnh.

Công Dụng
Hỗ trợ cải thiện mụn & ngăn ngừa các nguyên nhân gây mụn
Làm đều màu da, bề mặt da sáng khỏe
Cải thiện độ đàn hồi. Mang lại vẻ ngoài căng bóng và rạng rỡ
Sạch dầu nhờn & sợi bã nhờn dư thừa
Cho bề mặt da láng mịn
Se khít lỗ chân lông
Hỗ trợ chăm sóc làn da tiếp xúc thường xuyên với môi trường khói bụi","Water (Nước)
Lonicera Japonica Extract (Chiết xuất Hoa Kim Ngân)
Cynara Scolymus Leaf Extract (Chiết xuất Atiso)
Rosa Centifolia Extract (Chiết xuất Hoa Hồng)
Houttuynia Cordata Extract (Chiết xuất cây Diếp Cá)
Crinum Latifolium Extract (Chiết xuất Trinh Nữ Hoàng Cung)
Lactobacillus spp.
Bacillus spp.","Độ An Toàn Của Sản Phẩm Đáp Ứng Các Tiêu Chí KHÔNG:
Đã được kiểm nghiệm Chỉ tiêu kích ứng da
Không chứa chất hóa học Corticoid
Không chứa hương liệu và màu nhân tạo
Không chứa chất bảo quản gây hại
Không chứa cồn xấu
Không chứa Paraben và dầu khoáng","Sản phẩm được sử dụng theo 2 cách: 
Cách 1: Xịt Vi sinh ra lòng bàn tay, sau đó dùng tay còn lại để thoa lên da. Không thoa lên các vùng da mỏng như mí mắt, bọng mắt. Ngày thoa từ 1-2 lần. Nên thoa trước khi đi ngủ 

Cách 2: Xịt Vi sinh lên tăm bông và thoa đều lên da, những vùng mụn, thâm nám.

Vui lòng đọc kỹ Hướng Dẫn Sử Dụng trước khi sử dụng tại đây: Cẩm nang hướng dẫn sử dụng 
Khi mua sản phẩm bạn sẽ được đồng hành 1:1 với tư vấn viên, bạn cũng có thể liên hệ tư vấn viên để được giải đáp thắc mắc kịp thời. ",,,https://drive.google.com/drive/folders/1KXBASsQj8AsESPviAdfzp16xbM6jm_Un?usp=sharing
Mỹ phẩm vi sinh Hoa Ngân ,,SỮA RỬA MẶT NƯỚC BĂNG,GLACIER FOAM CLEANSER,có,,Dành cho mọi loại da / Dịu nhẹ / Dùng được cho phụ nữ có thai & trẻ em,449000,,,,100g,,"Chứa Nước Băng Alaska tinh khiết giúp làm sạch sâu, dưỡng trắng, căng bóng, mềm mịn, se lỗ chân lông, khắc phục tình trạng da khô sạm.

Công Dụng
Nhẹ nhàng rửa sạch lớp tế bào chết, bã nhờn và bụi bẩn trên bề mặt da
Cung cấp độ ẩm và dưỡng chất khắc phục tình trạng da khô sạm
Se chân lông
Hỗ trợ làm trắng sáng da, giúp da mịn màng căng bóng ngay sau khi rửa mặt
Hỗ trợ làm dịu và ngăn ngừa mụn
Giúp ngăn ngừa, làm mờ thâm, nám, tàn nhang
Cải thiện các dấu hiệu lão hóa và độ đàn hồi của da","Water (Nước băng Alaska Glacier), Sodium Methyl Oleoyl Taurate, Lauryl Glucoside, Glycerin, Butylene Glycol, Cocamidopropyl Betaine, Sodium Lauroyl Methyl Isethionate, Betaine, Niacinamide, 1,2-Hexanediol, Sodium PCA, Coco-Glucoside, Panthenol, Allantoin, Citric Acid, Hydroxyacetophenone, Disodium EDTA, Hyaluronic Acid, Rose Flower Oil (Tinh dầu Hoa Hồng), Resveratrol.","Độ An Toàn Của Sản Phẩm Đáp Ứng Các Tiêu Chí KHÔNG
Không chứa sulfate (SLS/SLES)
Không hương liệu & màu nhân tạo
Không chất bảo quản
Không cồn xấu
Không Paraben & dầu khoáng","Hướng Dẫn Sử Dụng
Bước 1: Làm ướt da mặt. Sau đó, ấn vòi xịt 2 – 3 lần ra lòng bàn tay một lượng bọt vừa đủ massage khắp da mặt. Sữa Rửa Mặt Nước Băng Glacier Foam Cleanser là loại sữa rửa mặt tạo bọt nên bạn không cần phải tạo bọt thủ công.

Bước 2: Massage kỹ khoảng 90 giây để Sữa Rửa Mặt Nước Băng Glacier Foam Cleanser có thể giúp lấy hết bụi bẩn cũng như cặn bã nhờn nằm sâu dưới da. Đồng thời, quá trình này giúp cho các mạch máu dưới da được lưu thông tốt hơn.

Đối với Sữa Rửa Mặt Nước Băng Glacier Foam Cleanser, bạn cứ thoải mái massage và rửa sạch vùng da quanh mắt mà không gây kích ứng hay cay mắt. Điều này cũng cho thấy độ lành tính của sản phẩm rất cao. Vùng mắt là nơi thường phải make up, kẻ mắt, mascara, đánh phấn nhiều nếu không rửa sạch sẽ rất dễ khiến da nhanh lão hóa và mau có nếp nhăn, quầng thâm.

Bước 3: Rửa lại bằng nước. Quá trình rửa mặt càng kỹ thì các bước dưỡng da sau càng có hiệu quả.

Lưu ý:
– Không nên dùng khăn mặt hoặc khăn giấy để lau khô. Như vậy, sẽ khiến các bụi khăn dính lên da sẽ dễ gây mụn và các vấn đề khác cho da. 
– Chỉ nên dùng bông tẩy trang để lau hoặc để da tự khô tự nhiên.

Vui lòng đọc kỹ Hướng Dẫn Sử Dụng trước khi sử dụng tại đây: Cẩm nang hướng dẫn sử dụng 
Khi mua sản phẩm bạn sẽ được đồng hành 1:1 với tư vấn viên, bạn cũng có thể liên hệ tư vấn viên để được giải đáp thắc mắc kịp thời. ",,,https://drive.google.com/drive/folders/14SacnPyduODWTZLx46EhYtL6wMXi1EQD?usp=drive_link
Mỹ phẩm vi sinh Hoa Ngân ,,KEM CHỐNG NẮNG PHỔ RỘNG ,SMART SUNCARE SPF 123 & UVA-PF 79,có,,Dành cho mọi loại da/ Mỏng nhẹ/ Chống nắng phổ rộng ,799000,,,,30g,,"Với chỉ số SPF 123 & UVA-PF 79 vượt trội, Công thức đột phá cùng Màng lọc thông minh thế hệ mới ngăn bụi mịn, bảo vệ toàn diện trước tia UVA, UVB, ánh sáng xanh và ô nhiễm môi trường đô thị.

Bước Đột Phá Trong Công Nghệ Chống Nắng Cao Cấp:
Nước Băng Alaska tinh khiết
Màng lọc chống nắng thế hệ mới, thông minh không cần tẩy trang.
Kết cấu mỏng nhẹ, không nhờn rít.
Chỉ số chống nắng được kiểm nghiệm cao vượt trội lên đến SPF 123, UVA-PF 79.
Chỉ 1 lần thoa, bảo vệ da toàn diện lên đến 12 tiếng, không cần thoa lại nhiều lần.
Thích hợp với mọi loại da kể cả da nhạy cảm và da thường xuyên kích ứng với các sản phẩm kem chống nắng khác.


Công Dụng/Hiệu Quả
Chống nắng phổ rộng trước nhiều loại tia gây hại cho da: UVA, UVB, ánh sáng xanh,…
Bảo vệ da trước ô nhiễm, bụi mịn, bụi kim loại, do đó chỉ cần loại bỏ sạch bằng Sữa Rửa Mặt Nước Băng Glacier Foam Cleanser, không cần tẩy trang.
Làm mờ và ngăn ngừa sạm, nám, tàn nhang
Cải thiện các dấu hiệu lão hóa
Làm sáng và trắng da","Water, Zinc Oxide, Ethylhexyl Methoxycinnamate (5%), Propanediol, Niacinamide, C13-15 Alkane, Glycerin, Cetearyl Alcohol & Cetearyl Glucoside, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Betaine, Bisabolol, Arbutin, 1,2 Hexanediol, Panthenol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Allantoin, Xanthan Gum, Triethoxycaprylylsilane, Polyhydroxystearic Acid, Adenosine, Rosa Centifolia Flower Extract, Copper Tripeptide-1, Palmitoyl Pentapeptide-4, Palmitoyl Tripeptide-5, Palmitoyl oligopeptide, Acetyl tetrapeptide-5, Hexapeptide-3.","Độ An Toàn Đạt Tiêu Chuẩn EWG Và FDA Của Mỹ:
Không gây đỏ rát & kích ứng da
Không Paraben & dầu khoáng
Không hương liệu
Không chất bảo quản
Không cồn xấu","Hướng Dẫn Sử Dụng
Lấy một lượng vừa đủ, thoa đều và dùng tay vỗ nhẹ lên da mặt hoặc vùng da cần chống nắng.
Thoa sau khi sử dụng Xịt Dưỡng Miracle Essence để đạt hiệu quả tối ưu nhất.
Lưu Ý:
Thoa Kem Chống Nắng Smart Suncare trước khi ra ngoài từ 30 phút
Có thể sử dụng như lớp lót trang điểm",,,https://drive.google.com/drive/folders/1WkKYQLgF7wAlmxkTzhZ80ePbMZaoquO3?usp=drive_link
Khuyến mãi +Mỹ phẩm vi sinh Hoa Ngân ,,"COMBO 1:
TRẮNG SÁNG, CĂNG BÓNG, CẢI THIỆN CÁC DẤU HIỆU LÃO HÓA",,có,Deal tháng/ Bán chạy nhất ,,2246000,1747000,"22,22%",,,"– Miễn phí vận chuyển toàn quốc 
– Tặng mặt nạ ủ  
– Tư vấn 1-1 trọn đời tới khi da đẹp

Tặng thêm: 
- Bông tẩy trang Muji với đơn hàng từ 2 triệu

Nhận quà ngay khi đăng ký thành viên ","MUA       
– 1 Xịt Dưỡng Chuyên Sâu Miracle Essence (50ml)
– 1 Sữa Rửa Mặt Nước Băng Glacier Foam Cleanser (100g)
– 1 Kem Chống Nắng Smart Suncare (30g)
TẶNG        1 Xịt Dưỡng Chuyên Sâu Miracle Essence (50ml)

XỊT DƯỠNG CHUYÊN SÂU MIRACLE ESSENCE
Cấp ẩm chuyên sâu, cân bằng và duy trì độ ẩm cho da
Cải thiện dấu hiệu lão hóa
Cải thiện độ đàn hồi 
Mang lại vẻ ngoài căng bóng, rạng rỡ 
Sạch nhờn & se chân lông
Làm mát da
Hỗ trợ chăm sóc làn da tiếp xúc thường xuyên với nắng, môi trường ô nhiễm và khói bụi
SỮA RỬA MẶT NƯỚC BĂNG GLACIER FOAM CLEANSER
Nhẹ nhàng rửa sạch lớp tế bào chết, bã nhờn và bụi bẩn trên bề mặt da
Cung cấp độ ẩm và dưỡng chất khắc phục tình trạng da khô sạm
Se chân lông
Hỗ trợ làm trắng sáng da, giúp da mịn màng căng bóng ngay sau khi rửa mặt
Hỗ trợ làm dịu và ngăn ngừa mụn
Giúp ngăn ngừa, làm mờ thâm, nám, tàn nhang
Cải thiện các dấu hiệu lão hóa và độ đàn hồi da
KEM CHỐNG NẮNG PHỔ RỘNG SMART SUNCARE:
Chỉ số chống nắng SPF123 UVA-PF 79 cao hơn các sản phẩm trên thị trường
Bảo vệ da bền vững suốt 12H khỏi tia UVA, UVB, tia hồng ngoại IR và ánh sáng xanh
Kết cấu mỏng nhẹ, thấm nhanh, không bết rít
Kem chống nắng nền dưỡng, vừa chống nắng vừa dưỡng trắng
Màng lọc thông minh thế hệ mới không cần tẩy trang.
",,,"Vui lòng đọc kỹ Hướng Dẫn Sử Dụng trước khi sử dụng tại đây: Cẩm nang hướng dẫn sử dụng 
Khi mua sản phẩm bạn sẽ được đồng hành 1:1 với tư vấn viên, bạn cũng có thể liên hệ tư vấn viên để được giải đáp thắc mắc kịp thời. ",,,https://drive.google.com/drive/folders/1TzFPgHJ9SK4pvTBqE9-qVatLiQKFZFtP?usp=drive_link
Khuyến mãi +Mỹ phẩm vi sinh Hoa Ngân ,,"COMBO 2:
CẢI THIỆN CÁC VẤN ĐỀ DA",,có,Deal tháng/ Bán chạy nhất ,,2795000,2296000,"17,85%",,,"– Miễn phí vận chuyển toàn quốc 
– Tặng mặt nạ ủ  
– Tư vấn 1-1 trọn đời tới khi da đẹp

Tặng thêm: 
- Bông tẩy trang Muji với đơn hàng từ 2 triệu

Nhận quà ngay khi đăng ký thành viên ","MUA        
– 1 Sữa Rửa Mặt Nước Băng Glacier Foam Cleanser (100g)
– 1 Tinh Chất Vi Sinh 2.0/2.7 (50ml)
– 1 Xịt Dưỡng Chuyên Sâu Miracle Essence (50ml)
– 1 Kem Chống Nắng Smart Suncare (30g)
TẶNG        1 Xịt Dưỡng Chuyên Sâu Miracle Essence (50ml)

COMBO TÁI SINH TOÀN DIỆN
Hỗ trợ chăm sóc và cải thiện các vấn đề da
Combo Tái Sinh Toàn Diện là bộ sản phẩm chăm sóc da được xây dựng dành riêng cho làn da đang gặp nhiều vấn đề như: khô căng, xỉn màu, lỗ chân lông to, da dễ nổi mụn hoặc thường xuyên bị kích ứng do môi trường, mỹ phẩm,…

Lưu ý: Hiệu quả sử dụng có thể khác nhau tùy theo lượng bã nhờn dư thừa, các tạp chất trên da và cách sử dụng. Nên sử dụng đều đặn và theo hướng dẫn của Nhà máy Sản xuất để đạt kết quả tối ưu.

KEM CHỐNG NẮNG PHỔ RỘNG SMART SUNCARE:
🔹Chỉ số chống nắng SPF123 UVA-PF 79 cao hơn các sản phẩm trên thị trường
🔹Bảo vệ da bền vững suốt 12H khỏi tia UVA, UVB, tia hồng ngoại IR và ánh sáng xanh
🔹Kết cấu mỏng nhẹ, thấm nhanh, không bết rít
🔹Kem chống nắng nền dưỡng, vừa chống nắng vừa dưỡng trắng
🔹Màng lọc thông minh thế hệ mới không cần tẩy trang.",,,"Vui lòng đọc kỹ Hướng Dẫn Sử Dụng trước khi sử dụng tại đây: Cẩm nang hướng dẫn sử dụng 
Khi mua sản phẩm bạn sẽ được đồng hành 1:1 với tư vấn viên, bạn cũng có thể liên hệ tư vấn viên để được giải đáp thắc mắc kịp thời. ",,,https://drive.google.com/drive/folders/1vp8_jmDAZjJ--L2aGTagmVK810VgIQtZ?usp=drive_link
Khuyến mãi +Mỹ phẩm vi sinh Hoa Ngân ,,"COMBO 3:
CHĂM SÓC DA TOÀN DIỆN",,có,Deal tháng/ Deal tốt nhất,,1497000,998000,"33,33%",,,"– Miễn phí vận chuyển toàn quốc 
– Tặng mặt nạ ủ  
– Tư vấn 1-1 trọn đời tới khi da đẹp

Tặng thêm: 
- Bông tẩy trang Muji với đơn hàng từ 2 triệu

Nhận quà ngay khi đăng ký thành viên ","MUA          2 Xịt Dưỡng Chuyên Sâu (50ml)
TẶNG        1 Xịt Dưỡng Chuyên Sâu (50ml)

Combo ưu đãi từ Nhà máy Sản xuất Mỹ Phẩm Vi Sinh Hoa Ngân với Xịt Dưỡng Chuyên Sâu Miracle Essence với đa dạng công dụng chăm sóc da chuẩn Khoa Học Vi Sinh.
",,,"Vui lòng đọc kỹ Hướng Dẫn Sử Dụng trước khi sử dụng tại đây: Cẩm nang hướng dẫn sử dụng 
Khi mua sản phẩm bạn sẽ được đồng hành 1:1 với tư vấn viên, bạn cũng có thể liên hệ tư vấn viên để được giải đáp thắc mắc kịp thời. ",,,https://drive.google.com/drive/folders/1G8g_zNoBffinPJWriB6Kn7VLoZnJA4o7?usp=drive_link
Khuyến mãi +Mỹ phẩm vi sinh Hoa Ngân ,,"COMBO 4:
GIẢI PHÁP CHĂM SÓC DA ĐƠN GIẢN & TINH GỌN",,có,Deal tháng/ Được yêu thích nhất ,,2046000,1547000,"24,39%",,,"– Miễn phí vận chuyển toàn quốc 
– Tặng mặt nạ ủ  
– Tư vấn 1-1 trọn đời tới khi da đẹp

Tặng thêm: 
- Bông tẩy trang Muji với đơn hàng từ 2 triệu

Nhận quà ngay khi đăng ký thành viên ","MUA        
– 1 Sữa Rửa Mặt Nước Băng Glacier Foam Cleanser (100g)
– 2 Tinh Chất Vi Sinh 2.0/2.7 (50ml)
TẶNG        1 Xịt Dưỡng Chuyên Sâu Miracle Essence (50ml)

COMBO TÁI SINH TOÀN DIỆN
Hỗ trợ chăm sóc và cải thiện các vấn đề da
Combo Tái Sinh Toàn Diện là bộ sản phẩm chăm sóc da được xây dựng dành riêng cho làn da đang gặp nhiều vấn đề: khô căng, xỉn màu, lỗ chân lông to, da dễ nổi mụn hoặc thường xuyên bị kích ứng do môi trường, mỹ phẩm,…",,,"Vui lòng đọc kỹ Hướng Dẫn Sử Dụng trước khi sử dụng tại đây: Cẩm nang hướng dẫn sử dụng 
Khi mua sản phẩm bạn sẽ được đồng hành 1:1 với tư vấn viên, bạn cũng có thể liên hệ tư vấn viên để được giải đáp thắc mắc kịp thời. ",,,https://drive.google.com/drive/folders/1myUjOAUuoAKdHmlaF8wgRqNAoZwBGyqw?usp=drive_link
Dụng cụ làm đẹp,,Lăn kim ,,,,,150000,,,,,,"Lăn kim (Dermaroller) – Kích hoạt tái tạo, phục hồi làn da từ gốc

Lăn kim là công cụ chăm sóc da chuyên sâu, hoạt động dựa trên cơ chế tạo ra các vi tổn thương siêu nhỏ trên bề mặt da, từ đó kích thích quá trình tự làm lành và tái tạo tự nhiên của da. Nhờ vậy, làn da được “đánh thức” để sản sinh collagen và elastin – nền tảng cho một làn da khỏe, mịn và săn chắc.

Công dụng nổi bật:
- Kích thích tăng sinh collagen: Giúp da săn chắc, cải thiện nếp nhăn
- Làm mờ sẹo rỗ, thâm mụn: Hỗ trợ tái tạo bề mặt da đều màu hơn
- Se khít lỗ chân lông: Cải thiện kết cấu da rõ rệt
- Tăng hấp thụ dưỡng chất: Giúp serum thẩm thấu sâu và hiệu quả hơn
- Hỗ trợ trẻ hóa da: Làm da sáng khỏe và tươi mới hơn
 
Điểm khác biệt:
Không giống các phương pháp chăm sóc bề mặt, lăn kim tác động vào cơ chế tự phục hồi của da, giúp da khỏe lên từ bên trong thay vì phụ thuộc vào sản phẩm bên ngoài.

Phù hợp với:
- Da có sẹo rỗ, thâm mụn lâu năm
- Da lão hóa, kém săn chắc
- Da dày sừng, lỗ chân lông to
- Người muốn phục hồi và tái tạo da chuyên sâu

⚠️ Lưu ý quan trọng
Đây là phương pháp cần kỹ thuật và vệ sinh nghiêm ngặt
Không sử dụng trên da đang viêm, mụn nặng hoặc nhạy cảm",N/A,N/A,"Khi mua sản phẩm bạn sẽ được đồng hành 1:1 với tư vấn viên, bạn cũng có thể liên hệ tư vấn viên để được giải đáp thắc mắc kịp thời.",,,https://drive.google.com/drive/folders/1ImbgjjgHhSEcLTq3PdAcuXJ9FfHAvBv7?usp=drive_link
